file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,93,css,cd48e08b,Yi-Hsuan Kuo,2025-04-09,16:34:19,-07:00,2025-04-09T16:34:19-07:00,0,22
style.css,94,css,cd48e08b,Yi-Hsuan Kuo,2025-04-09,16:34:19,-07:00,2025-04-09T16:34:19-07:00,0,16
style.css,95,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,96,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,9
style.css,97,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,18
style.css,98,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,99,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,25
style.css,100,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,16
style.css,101,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,102,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,11
style.css,103,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,15
style.css,104,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,105,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,106,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,11
style.css,107,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,13
style.css,108,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,78
style.css,109,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,110,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,4
style.css,111,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,13
style.css,112,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,61
style.css,113,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,0
style.css,114,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,3
style.css,115,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,53
style.css,116,css,8e07a945,Yi-Hsuan Kuo,2025-04-10,12:51:05,-07:00,2025-04-10T12:51:05-07:00,0,77
style.css,117,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,0
style.css,118,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,0
style.css,119,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,18
style.css,120,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,18
style.css,121,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,8
style.css,122,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,10
style.css,123,css,60797651,Yi-Hsuan Kuo,2025-04-18,11:58:25,-07:00,2025-04-18T11:58:25-07:00,0,9
